issueid,STR.REQ,class
RE-766,mapcomponent support different type map layer e g terrain satellite,1
RE-759,missionplanner execute flight plan multiple uavs concurrently,1
RE-751,gcs transmit uav s current location gcsmiddleware,1
RE-746,gcs report newly connect uavs gcsmiddleware,1
RE-741,gcs assign message frequency uavs,1
RE-736,connection gcs gcsmiddleware lose gcsmiddleware notify dronology deactivate associate uavs,1
RE-729,gcsmiddleware forward command send dronology gcs,1
RE-722,gcsmiddleware handle state message monitor message mode change message receive gcs,1
RE-714,gcsmiddleware follow predefined set step establish connection gcs dronology,1
RE-706,dronologyruntimemonitor able receive message dronology component,1
RE-702,new monitoring message receive dronologyruntimemonitor forward message subscribe client,1
RE-701,dronologyruntimemonitor provide functionality retrieve monitor message distribute client,1
RE-695,realtimeflightui allow user follow multiple uavs map,1
RE-693,realtimeflightui allow user perform emergency operation e g hover multiple uavs send multiple uavs home group uavs,1
RE-691,realtimeflightui allow user apply flight operation select uavs,1
RE-689,realtimeflightui display currently active flight plan map,1
RE-681,realtimeflightui display status currently activate uavs,1
RE-679,routecreationui load list exist route display,1
RE-677,routecreationui allow user delete route,1
RE-672,routecreationui allow user create modify route,1
RE-670,request routecreationui send newly create modify route dronology,1
RE-666,routecreationui accept valid altitude speed value waypoint,1
RE-659,user cancel pende flight plan routeassignmentui notify dronology,1
RE-656,user reorder route remove flight plan assign uav long flight start execution,1
RE-651,request user routeassignmentui display detail select uav flight plan,1
RE-649,route assign remove uav routeassignmentui notify dronology,1
RE-646,routeassignmentui provide mean select exist route assign uav,1
RE-642,vaadinui activate vaadinui configure accord store configuration parameter,1
RE-639,uimiddleware accept activate mission plan request,1
RE-630,uimiddleware accept command uis forward dronology,1
RE-628,uimiddleware provide list exist route,1
RE-626,uimiddleware provide list active uavs,1
RE-616,activitylogger log command send message receive cgs,1
RE-611,activitylogger log flight plan relate event,1
RE-597,internalsimulator approximate state battery,1
RE-596,give landing command internalsimulator uav ground altitude correspond current longitude latitude,1
RE-594,give takeoff command internalsimulator uav takeoff altitude correspond current longitude latitude,1
RE-593,internalsimulator approximate behavior uav,1
RE-592,uavregistrationmanager store uav meta data information uav s technical characteristic,1
RE-587,uav deactivate uavactivationmanager cancel current schedule flight plan,1
RE-576,vehiclecore support virtual uavs,1
RE-574,vehiclecore support uavs connect gcs,1
RE-562,flight pattern document longitude latitude altitude waypoint flight route offset starting position uav,1
RE-558,request singleuavflightplanscheduler abort currently execute flight plan uav,1
RE-555,uav pende flight plan reach final waypoint current flight plan singleuavflightplanscheduler notify uav hover place,1
RE-549,route contain specific uav d singleuavflightplanscheduler assign route give uav,1
RE-547,request singleuavflightplanscheduler schedule route execution,1
RE-545,request mission currently active missionplanner cancel active mission,1
RE-541,missionplanner manage predefined flightpattern,1
RE-531,flight plan activate uav currently ground flightschedulingandexecution notify uav takeoff vertically reach prescribed altitude,1
RE-525,flight plan active hover place command rescind flightmanager notify uav continue originally designate waypoint,1
RE-523,flight route assign uav currently hover place flightmanager assign route maintain hover place mode,1
RE-521,hover place command issue flightmanager halt uav place maintain current position,1
RE-517,give coordinate coordinatesystem compute direction coordinate second coordinate,1
RE-516,give coordinate coordinatesystem compute distance,1
RE-510,request coordinatesystem transform coordinate alternate format,1
RE-505,flightroutemanag persist flight route,1
RE-503,flightroutemanag ensure flight route represent valid flight route,1
RE-501,flightroutemanag define flight route order sequence waypoint waypoint represent target location final waypoint represent final target location,1
RE-424,return home command issue flightmanager return uav original launch location issue additional waypoint route command,1
RE-235,gcs lose connection uav gcs attempt reconnect,1
RE-161,uavactivationmanager activate uavs register,1
RE-160,gcs request activation newly detect uav gcsmiddleware forward request dronology,1
RE-127,uav active onboard obstacle avoidance obstacleavoidance issue directive,1
RE-124,stationary move object proximity uav objectavoidance issue evasive directive uav,1
RE-120,realtimeflightui display location active uavs icon map,1
RE-112,command issue vaadinui uav vaadinui request control uav,1
RE-108,uimiddleware provide interface register ui client,1
RE-103,uav s current flight cancel singleuavflightplanscheduler turn cancel schedule flight plan uav,1
RE-101,uav pende flight plan reach final waypoint current flight plan singleuavflightplanscheduler execute assign flight plan,1
RE-100,request singleuavflightplanscheduler unassign flight plan assign uav await execution,1
RE-86,singleuavflightplanscheduler maintain manage list pende flight plan uav,1
RE-80,flight plan execute vehiclecore send waypoint uav,1
RE-77,waypoint specify coordinate include longitude latitude altitude,1
RE-38,vehiclecore associate uav type uav define basic attribute,1
RE-36,uavactivationmanager ensure instance register drone active time,1
RE-28,singleuavflightplanscheduler execute flight plan time uav,1
RE-25,vehiclecore assign unique d activate uav,1
RE-9,client register notification uimiddleware send notification specific event,1
DD-768,movement command specify follow command type set monitoring frequency set state frequency,0
DD-767,routecreationui provide capability modify exist route,0
CO-765,provide map functionality display route uavs leverage shelf map provider osm google map,0
DD-764,uimiddleware accept resend waypoint command associate unique uav d forward dronology,0
DD-763,uav state message format json object contain uav d mode,0
DD-762,user attempt create route provide save route,0
DD-761,display active flight plan include time flight travel distance remain distance complete total waypoint,0
DD-757,property gcs send gcsmiddleware define json,0
DD-756,gcs send uav s current property gcsmiddleware receive uav,0
DD-755,gcs request uav s property uav message monitoring frequency second,0
DD-752,gcs request uav s current coordinate uav message state frequency second,0
DD-750,uav reconnect timeout reach connection uav reestablish gcs send uav timeout message contain uav d gcsmiddleware,0
DD-749,connection uav lose gcs fail reconnect gcs notify gcsmiddleware,0
DD-748,gcs receive notification uav incorrectly register gcs close connection uav,0
DD-747,gcs send home location time stamp uav d gcsmiddleware,0
DD-745,gcs receive set frequency command gcsmiddleware adjust messange frequency accordingly,0
DD-744,message frequency define unit second,0
DD-743,default message frequency uav state message uav message state frequency,0
DD-740,gcs transform command vehicle specific format,0
DD-737,socket error time occur uavs associate gcs deactivate,0
DD-735,takeoff command specify target altitude,0
DD-734,set velocity specify velocity vector specify ned north east direction,0
DD-733,set groundspeed command specify ground speed meter second,0
DD-732,goto waypoint command include target latitude longitude altitude coordinate,0
DD-731,movement command specify follow command type goto waypoint set groundspeed set velocity takeoff land hover,0
DD-730,command include unique uav d,0
DD-728,gcsmiddleware able handle send setstatefrequency command respective gcs contain desire frequency ms,0
DD-727,gcsmiddleware able handle send setmonitoringfrequency command respective gcs contain desire frequency ms,0
DD-724,uav state message format json object contain mandatory optional element,0
DD-723,uav monitoring message format json object contain arbitrary information single uav,0
DD-721,activation request deny gcsmiddleware send predefined activation deny message gcs,0
DD-720,activation request approve gcsmiddleware send predefined activation confirmation message gcs,0
DD-718,gcsmiddleware uavactivationmanager request uav activation,0
DD-716,step gcs announce current set recognize uavs gcsmiddleware,0
DD-715,step gcsmiddleware accept connection send handshake message,0
DD-713,gcs connect gcsmiddleware identify unique groundstation d,0
DD-712,gcsmiddleware accept connection gcs,0
DD-711,gcsmiddleware accept connection multiple gcs,0
DD-710,gcsmiddleware specify predefined gcs port gcs connect,0
DD-707,monitoring message contain hierarchical identifier describe topic message type timestamp arbitrary serializeable datum attach message,0
DD-704,topic organize hierarchical manner mean client subscribe message message certain gcs uavs property,0
DD-699,uav s battery level drop predefined threshold uav health indicator activate,0
DD-697,ui follow mode active map continually zoom pan select uavs center active route constitute view,0
DD-696,ui follow mode initiate map automatically zoom pan select uavs center active route constitute view,0
DD-692,operation include rtl takeoff hover place resend command,0
DD-690,ui differentiate complete current traverse flight segment,0
DD-688,ui periodically request current location register uavs uimiddleware update location map,0
DD-687,activate uav ui display information uav e longitude latitude altitude groud speed battery level etc,0
DD-686,different type uavs different icon,0
DD-685,map load active uavs list obtain uirealtimeflightview display icon map register uav base current location,0
DD-684,realtimeflightui load map display default zoom level center coordinate specify configuration file,0
DD-683,ui periodically request list activate uavs uimiddleware update display currently activate uavs,0
DD-682,load ui request information activate uavs uimiddleware uimiddleware respond request ui display list currently activate uavs,0
DD-678,user press route delete button confirmation message display confirm user route delete,0
DD-675,consecutive waypoint route map connect line,0
DD-673,routecreationui support route creation modification tabular mode display editable table show waypoint velocity uav approach waypoint,0
DD-671,route information represent standard route xml format transmit uimiddleware,0
DD-669,ui provide respective field display modify d textual description waypoint route information,0
DD-667,altitude speed value exceed current maximum uav max altitude uav max ground speed set,0
DD-665,waypoint color update flight route edit e g new waypoint add current edit cancel color reset reflect current waypoint,0
DD-661,user press cancel pende flight plan button request send ui middleware cancel flight,0
DD-658,flight plan assign uav execute delete select route click deselect button,0
DD-657,flight plan assign uav execute reorder drag route list assign route new position,0
DD-652,detailed information request user uav ui request uav data object uimiddleware,0
DD-648,route assign select uav mouse drag drop double clicking route,0
DD-647,user select uav assign route available route list,0
CO-645,provide capability select exist route assign active uavs,0
DD-644,issue command uav vaadinui request control uimiddleware,0
CO-641,user interface manage uavs route planning flight,0
DD-640,uimiddleware forward mission plan request dronology,0
