issueid,STR.REQ,class
RE-766,The MapComponent shall support different types of map layers e g terrain satellite,1
RE-759,The MissionPlanner shall execute flight plans for multiple UAVs concurrently,1
RE-751,The GCS shall transmit the UAV s current location to the GCSMiddleware,1
RE-746,The GCS shall report newly connected UAVs to the GCSMiddleware,1
RE-741,The GCS shall assign a message frequency for all UAVs,1
RE-736,When the connection to the GCS from the GCSMiddleware is lost the GCSMiddleware shall notify Dronology and deactivate all associated UAVs,1
RE-729,The GCSMiddleware shall forward commands sent from Dronology to a GCS,1
RE-722,The GCSMiddleware shall handle state messages monitoring messages and mode change messages received from an GCS,1
RE-714,The GCSMiddleware shall follow a predefined set of steps to establish a connection between a GCS and Dronology,1
RE-706,The DronologyRuntimeMonitor shall be able to receive messages from any Dronology component,1
RE-702,When a new monitoring message is received the DronologyRuntimeMonitor shall forward the message to all subscribed clients,1
RE-701,The DronologyRuntimeMonitor shall provide functionality to retrieve monitoring messages and distribute them to clients,1
RE-695,The RealTimeFlightUI shall allow users to follow one or multiple UAVs on the map,1
RE-693,The RealTimeFlightUI shall allow users to perform emergency operations e g hovering multiple UAVs sending multiple UAVs to home to a group of UAVs,1
RE-691,The RealTimeFlightUI shall allow users to apply flight operations to one or more selected UAVs,1
RE-689,The RealTimeFlightUI shall display all currently active flight plans on the map,1
RE-681,The RealTimeFlightUI shall display the name and status of all currently activated UAVs,1
RE-679,When the RouteCreationUI is loaded a list of all existing routes shall be displayed,1
RE-677,The RouteCreationUI shall allow a user to delete a route,1
RE-672,The RouteCreationUI shall allow the user to create and modify a route,1
RE-670,When requested the RouteCreationUI shall send a newly created or modified route to dronology,1
RE-666,The RouteCreationUI shall only accept valid altitude and speed values for waypoint,1
RE-659,When a user shall cancels a pending flight plan the RouteAssignmentUI shall notify Dronology,1
RE-656,A user may reorder routes or remove flight plans assigned to a UAV as long as the flight has not started execution,1
RE-651,When requested by the user the RouteAssignmentUI shall display details about the selected UAV and its flight plans,1
RE-649,When a route is assigned or removed from a UAV the RouteAssignmentUI shall notify Dronology,1
RE-646,The RouteAssignmentUI shall provide means to select an existing routes and assign them to a UAV,1
