issueid,STR.REQ,class
RE-754,gcs transmit uav s property gcsmiddleware,1
RE-746,gcs report newly connect uavs gcsmiddleware,1
RE-741,gcs assign message frequency uavs,1
RE-739,gcs receive uav command gcsmiddleware gcs forward command respective uav,1
RE-714,gcsmiddleware follow predefined set step establish connection gcs dronology,1
RE-709,gcsmiddleware handle multiple gcs,1
RE-706,dronologyruntimemonitor able receive message dronology component,1
RE-702,new monitoring message receive dronologyruntimemonitor forward message subscribe client,1
RE-701,dronologyruntimemonitor provide functionality retrieve monitor message distribute client,1
RE-698,realtimeflightui notify user emergency occur,1
RE-695,realtimeflightui allow user follow multiple uavs map,1
RE-693,realtimeflightui allow user perform emergency operation e g hover multiple uavs send multiple uavs home group uavs,1
RE-689,realtimeflightui display currently active flight plan map,1
RE-681,realtimeflightui display status currently activate uavs,1
RE-679,routecreationui load list exist route display,1
RE-677,routecreationui allow user delete route,1
RE-672,routecreationui allow user create modify route,1
RE-670,request routecreationui send newly create modify route dronology,1
RE-668,route include unique d textual description set waypoint editable ui,1
RE-664,routecreationui distinguish start end intermediate waypoint marker,1
RE-659,user cancel pende flight plan routeassignmentui notify dronology,1
RE-655,uav select routeassignmentui display active flight plan,1
RE-651,request user routeassignmentui display detail select uav flight plan,1
RE-649,route assign remove uav routeassignmentui notify dronology,1
RE-646,routeassignmentui provide mean select exist route assign uav,1
RE-643,load map view position pre define location,1
RE-642,vaadinui activate vaadinui configure accord store configuration parameter,1
RE-639,uimiddleware accept activate mission plan request,1
RE-637,uimiddleware enable exist route assign active uav,1
RE-634,uimiddleware enable creation modification flight route,1
RE-626,uimiddleware provide list active uavs,1
RE-616,activitylogger log command send message receive cgs,1
RE-597,internalsimulator approximate state battery,1
RE-595,give goto command internalsimulator update location uav increment simulation step size meter move target destination destination reach,1
RE-593,internalsimulator approximate behavior uav,1
RE-592,uavregistrationmanager store uav meta data information uav s technical characteristic,1
RE-589,maximum number allow activate uavs reach uavactivationmanager reject activation request,1
RE-587,uav deactivate uavactivationmanager cancel current schedule flight plan,1
RE-576,vehiclecore support virtual uavs,1
RE-574,vehiclecore support uavs connect gcs,1
RE-563,group uavs assign flight pattern mission provide warning path overlap,1
RE-558,request singleuavflightplanscheduler abort currently execute flight plan uav,1
RE-555,uav pende flight plan reach final waypoint current flight plan singleuavflightplanscheduler notify uav hover place,1
RE-551,schedule flight manually assign uav singleuavflightplanscheduler assign route automatically uav,1
RE-549,route contain specific uav d singleuavflightplanscheduler assign route give uav,1
RE-547,request singleuavflightplanscheduler schedule route execution,1
RE-545,request mission currently active missionplanner cancel active mission,1
RE-541,missionplanner manage predefined flightpattern,1
RE-531,flight plan activate uav currently ground flightschedulingandexecution notify uav takeoff vertically reach prescribed altitude,1
RE-523,flight route assign uav currently hover place flightmanager assign route maintain hover place mode,1
RE-521,hover place command issue flightmanager halt uav place maintain current position,1
RE-517,give coordinate coordinatesystem compute direction coordinate second coordinate,1
RE-510,request coordinatesystem transform coordinate alternate format,1
RE-508,flight route require customize takeoff altitude differ s default takeoff altitude specify flight route,1
RE-505,flightroutemanag persist flight route,1
RE-503,flightroutemanag ensure flight route represent valid flight route,1
RE-501,flightroutemanag define flight route order sequence waypoint waypoint represent target location final waypoint represent final target location,1
RE-235,gcs lose connection uav gcs attempt reconnect,1
RE-161,uavactivationmanager activate uavs register,1
RE-127,uav active onboard obstacle avoidance obstacleavoidance issue directive,1
RE-126,objectavoidance issue command capability uav,1
RE-125,uav take evasive action ensure eventually reach destination,1
RE-124,stationary move object proximity uav objectavoidance issue evasive directive uav,1
RE-120,realtimeflightui display location active uavs icon map,1
RE-114,realtimeflightui load map display,1
RE-112,command issue vaadinui uav vaadinui request control uav,1
RE-110,uimiddleware assign control client time uav,1
RE-108,uimiddleware provide interface register ui client,1
RE-103,uav s current flight cancel singleuavflightplanscheduler turn cancel schedule flight plan uav,1
RE-101,uav pende flight plan reach final waypoint current flight plan singleuavflightplanscheduler execute assign flight plan,1
RE-100,request singleuavflightplanscheduler unassign flight plan assign uav await execution,1
RE-86,singleuavflightplanscheduler maintain manage list pende flight plan uav,1
RE-80,flight plan execute vehiclecore send waypoint uav,1
RE-77,waypoint specify coordinate include longitude latitude altitude,1
RE-38,vehiclecore associate uav type uav define basic attribute,1
RE-36,uavactivationmanager ensure instance register drone active time,1
RE-28,singleuavflightplanscheduler execute flight plan time uav,1
RE-25,vehiclecore assign unique d activate uav,1
RE-9,client register notification uimiddleware send notification specific event,1
RE-8,request vehiclecore transition uav state accord allow state transition depict uav state transition diagram,1
CO-765,provide map functionality display route uavs leverage shelf map provider osm google map,0
DD-764,uimiddleware accept resend waypoint command associate unique uav d forward dronology,0
DD-763,uav state message format json object contain uav d mode,0
DD-762,user attempt create route provide save route,0
DD-761,display active flight plan include time flight travel distance remain distance complete total waypoint,0
DD-760,active flight plan display list pende flight plan,0
DD-755,gcs request uav s property uav message monitoring frequency second,0
DD-753,gcs send uav s current coordinate gcsmiddleware receive uav,0
DD-752,gcs request uav s current coordinate uav message state frequency second,0
DD-750,uav reconnect timeout reach connection uav reestablish gcs send uav timeout message contain uav d gcsmiddleware,0
DD-748,gcs receive notification uav incorrectly register gcs close connection uav,0
DD-747,gcs send home location time stamp uav d gcsmiddleware,0
DD-744,message frequency define unit second,0
DD-743,default message frequency uav state message uav message state frequency,0
DD-742,default message frequency uav monitoring message uav message mon frequency,0
DD-740,gcs transform command vehicle specific format,0
DD-737,socket error time occur uavs associate gcs deactivate,0
DD-735,takeoff command specify target altitude,0
DD-732,goto waypoint command include target latitude longitude altitude coordinate,0
DD-731,movement command specify follow command type goto waypoint set groundspeed set velocity takeoff land hover,0
DD-730,command include unique uav d,0
DD-728,gcsmiddleware able handle send setstatefrequency command respective gcs contain desire frequency ms,0
DD-727,gcsmiddleware able handle send setmonitoringfrequency command respective gcs contain desire frequency ms,0
DD-724,uav state message format json object contain mandatory optional element,0
DD-723,uav monitoring message format json object contain arbitrary information single uav,0
DD-719,gcs inform result activation request,0
DD-716,step gcs announce current set recognize uavs gcsmiddleware,0
DD-715,step gcsmiddleware accept connection send handshake message,0
DD-713,gcs connect gcsmiddleware identify unique groundstation d,0
DD-712,gcsmiddleware accept connection gcs,0
DD-710,gcsmiddleware specify predefined gcs port gcs connect,0
DD-707,monitoring message contain hierarchical identifier describe topic message type timestamp arbitrary serializeable datum attach message,0
DD-705,dronologyruntimemonitor provide mean define wildcard e client receive message topic associate wildcard,0
DD-704,topic organize hierarchical manner mean client subscribe message message certain gcs uavs property,0
DD-703,client able subscribe number topic,0
CO-700,provide basic data collection capability internal datum dronology assign flight datum provide uav e g location datum status,0
DD-699,uav s battery level drop predefined threshold uav health indicator activate,0
DD-697,ui follow mode active map continually zoom pan select uavs center active route constitute view,0
DD-694,request user ui apply request emergency action select uavs uav select ui apply emergency action uavs default,0
DD-692,operation include rtl takeoff hover place resend command,0
DD-688,ui periodically request current location register uavs uimiddleware update location map,0
DD-687,activate uav ui display information uav e longitude latitude altitude groud speed battery level etc,0
DD-686,different type uavs different icon,0
DD-685,map load active uavs list obtain uirealtimeflightview display icon map register uav base current location,0
DD-684,realtimeflightui load map display default zoom level center coordinate specify configuration file,0
DD-682,load ui request information activate uavs uimiddleware uimiddleware respond request ui display list currently activate uavs,0
DD-678,user press route delete button confirmation message display confirm user route delete,0
DD-676,select user multiple route display simultaneously map,0
DD-675,consecutive waypoint route map connect line,0
DD-674,routecreationui support route creation modification visual mode allow user click location order create modify delete waypoint,0
DD-673,routecreationui support route creation modification tabular mode display editable table show waypoint velocity uav approach waypoint,0
DD-671,route information represent standard route xml format transmit uimiddleware,0
DD-667,altitude speed value exceed current maximum uav max altitude uav max ground speed set,0
DD-665,waypoint color update flight route edit e g new waypoint add current edit cancel color reset reflect current waypoint,0
CO-663,provide capability create new flight route map store dronology,0
DD-661,user press cancel pende flight plan button request send ui middleware cancel flight,0
DD-660,uav cancel pende flight plan button associate,0
DD-657,flight plan assign uav execute reorder drag route list assign route new position,0
DD-654,user request view flight plan assign uav ui request pende flight plan uav flightinfo object display,0
DD-652,detailed information request user uav ui request uav data object uimiddleware,0
DD-650,route assignment remove uav request send uimiddleware remove assignment dronology,0
DD-648,route assign select uav mouse drag drop double clicking route,0
DD-647,user select uav assign route available route list,0
CO-645,provide capability select exist route assign active uavs,0
DD-644,issue command uav vaadinui request control uimiddleware,0
DD-636,request ui client uimiddleware support modification exist flight route give d,0
DD-635,request ui client uimiddleware create new flight route unique d,0
DD-633,uimiddleware accept return home command associate unique uav d forward dronology,0
DD-632,uimiddleware accept takeoff command associate unique uav d forward dronology,0
DD-629,uimiddleware retrieve return list previously save flight route,0
DD-627,uimiddleware return list uav proxy object contain information active uavs include location battery level ground speed health status,0
DD-625,heartbeat fail client hold control lock client heartbeat time uimiddleware release control lock,0
DD-624,uimiddleware monitor liveness client hold control lock individual uavs,0
DD-623,ui middleware forward control request ui client release control lock uav,0
DD-622,uimiddleware forward control request ui client hold control lock uav,0
DD-621,client register uimiddleware unique d,0
DD-619,log level hw trace active state monitoring message log,0
DD-618,connection request handshake mode change message log,0
DD-617,command send gcs gcs middleware log,0
DD-614,uav reach waypoint execute flight plan log event create include coordinate waypoint uav flight plan assign flight plan d timestamp,0
DD-613,flight plan execute log event create include route uav assign execution time stamp,0
DD-612,flight plan initiate log event create include route uav assign initiation time stamp,0
CO-610,provide capability log uav relate event assign flight execute mission,0
DD-609,simulated uav flight nvecsimulator reduce battery second simulator battery drain volt,0
DD-608,give land command nvecsimulator immediately change uav s current altitude ground altitude,0
DD-607,respond goto command nvecsimulator continue move step target coordinate target reach,0
DD-606,give goto command nvecsimulator compute coordinate base normal vector altitude current position normal vector altitude destination simulator uav infinite acceleration use numerical method hone coordinate simulation step size meter current position travel path,0
DD-605,give takeoff command nvecsimulator infinite acceleration uav takeoff altitude correspond current longitude latitude,0
DD-603,simulated uav flight internalsimulator reduce battery second simulator battery drain volt,0
DD-602,give land command internalsimulator immediately change uav s current altitude ground altitude,0
DD-601,respond goto command internalsimulator continue move step target coordinate target reach,0
DD-600,give goto command internalsimulator compute coordinate base angle travel step size,0
CO-598,provide basic capability simulate flight virtual uavs,0
CO-591,provide capability register uavs e provide meta datum uav payload wingspan equipment,0
DD-590,maximum number activate uavs define max uav,0
DD-586,present uav d represent currently register uav uavactivationmanager activate uav,0
DD-585,present uav d represent currently register uav uavactivationmanager reject activation notify gcs middleware,0
DD-584,receive new activation request gcs middleware uavactivationmanager check present uav d represent currently register non activate uav,0
DD-583,present uav d represent currently activate uav gcs middleware notify additional activation perform,0
CO-582,provide capability activating deactivate virtual physical uavs dronology,0
DD-580,uav land state reach zero altitude transition ground,0
DD-579,uav air state receive command land transition land state,0
DD-575,vehiclecore support uavs capable receive respond command send ground control station,0
DD-573,internally simulated uav instantiate d unique ids currently activate uavs,0
DD-572,activation request uav receive gcs middleware accept uav provide d unique currently activate uavs,0
DD-571,virtual physical drone associate predefined uav type define basic attribute,0
CO-570,core component manage different type uavs,0
DD-569,obstacle detect distance min stop distance objectavoidance issue hover place command,0
DD-566,objectavoidance retrieve state uavs onboard objectavoidance status,0
DD-565,objectavoidance retrieve uav property check directive,0
DD-564,uav receive evasive directive long close proximity object objectavoidance stop send directive uav continue destination,0
DD-561,flight plan abort uav switch hover place mode,0
DD-560,aborted flight plan reassign uav,0
DD-559,flight plan abort remove associated uav,0
DD-557,uav store currently execute flight plan d,0
DD-556,currently execute flight plan d associate uav execute,0
DD-554,flight plan queue uav reach final waypoint current flight plan flight plan remove queue set currently execute flight plan,0
DD-553,uav issue return home command flight current flight plan abort schedule flight plan remove flight plan queue,0
DD-550,flight plan assign specific uav place uav s execution queue,0
DD-543,flightpattern synchronize takeoff direct uav takeoff unique altitude synchronize uavs fly unique altitude longitude latitude waypoint subsequent route synchronize uavs descend ascend target waypoint synchronize uavs complete flight pattern,0
DD-542,predefined flightpattern include missionplan expand prior use set waypoint synchronization point participate uavs,0
DD-540,missionplan specify json file attach example,0
DD-538,uav execute flight plan reach synchronization point wait proceed uavs share synchronization point reach point,0
DD-537,flight plan uavs synchronize insert share synchronization point order list flight route assign participate uav,0
DD-536,individual uav include missionplan order list flight route assign,0
DD-535,uav air flight plan assign takeoff altitude flight plan ignore,0
DD-534,takeoff altitude prescribe flight plan assign uav currently ground wide default altitude target takeoff altitude,0
DD-533,takeoff altitude prescribe flight plan assign uav currently ground altitude target takeoff altitude,0
DD-532,takeoff command issue flightschedulingandexecution check pre specify altitude flight plan,0
DD-530,uav reach target waypoint additional waypoint specify flight plan vehiclecore send waypoint uav s gcs,0
DD-529,compute distance uav target waypoint threshold waypoint distance waypoint consider reach,0
DD-528,vehiclecore receive uav s current coordinate uav assign target waypoint vehiclecore compute current distance target waypoint,0
DD-527,start flight plan send target waypoint uav s gcs,0
DD-526,hover place command rescind uav s state revert previous state,0
DD-524,uav hover place mode waypoint directive uav send gcs,0
DD-520,uav command return home current flight plan remove new flight plan create contain single waypoint represent original launch coordinate,0
DD-519,direction coordinate specify velocity vector coordinate,0
DD-515,request coordinate transform p vector default representation,0
DD-513,request coordinatesystem transform coordinate default representation p vector,0
DD-511,default coordinate representation use lla longitude latitude altitude format,0
DD-509,flight route xml format include optional takeoff altitude tag,0
DD-507,uimiddleware request flight route identify unique flighroutemanager retrieve associated file,0
DD-506,flight route upload dronology flightroutemanag save unique xml file,0
DD-504,receipt new modified flight route ui middleware flightroutemanag check valid flight route e waypoint valid coordinate flight route contain waypoint,0
DD-502,flight route specify standard xml flightroute format,0
DD-500,mode change message user control receive vehicle transition user control,0
DD-498,uav execute flight plan reach synchronization point follow delay task wait proceed delay specify second expire,0
CO-484,simple collision avoidance implementation stop uavs violate minimum safety distance,0
CO-481,collision avoidance api general service,0
CO-480,provide capability create execute complex flight patter multiple uavs,0
CO-477,single uav flight plan assignment take exist route instantiate assign uav,0
CO-476,provide capability execute mission multiple uavs,0
CO-475,provide capability execute flight assign uav,0
CO-474,provide basic flight relate capability uavs,0
CO-472,provide capability create manage flight route dronology,0
DD-468,missionplanner provide interface support execution predefined mission specify json,0
DD-445,dronologyruntimemonitor allow publish arbitrary monitoring message subscribe certain message type,0
DD-439,open street map component support multiple map provider,0
DD-421,waypoint flight route color differentiate starting waypoint end waypoint remain intermediate waypoint,0
DD-362,missionplanner synchronize coordinate flight multiple uavs,0
DD-354,gcsmiddleware handle multiple gcs time,0
DD-352,route assign uav request send uimiddleware update assignment dronology,0
DD-229,ui display waypoint connection,0
DD-213,command send message receive cgc log dedicated gcs log file,0
CO-184,internal simulator provide low fidelity feature support quick initial test virtual uav feature include takeoff goto land battery health,0
DD-177,position reckoning utilize wgs reference,0
DD-122,configuration parameter include map coordinate scale map style color scheme store json object server,0
DD-121,uav location update map currently define ui uav refresh rate,0
DD-119,configure configuration parameter map center white field university notre dame south bend,0
DD-118,load map scale specify configuration,0
DD-117,scale information provide configuration map display scale map default scale,0
CO-105,manage aspect display flight uavs real time interact flight view display active route uav coordinate current health map use zoom pan feature follow select uav,0
DD-104,flight plan execute waypoint reach log dedicated flight log file,0
CO-91,python base manage control uavs communicate dronology ground station middleware gcs responsible communicate directly uav send command monitor state include current position flight mode health,0
DD-85,pende flight plan uav reorder,0
DD-84,default pende flight plansof uav s service fcfs order,0
DD-75,flight route create externally upload dronology ui middleware,0
DD-33,uav fly state currently execute flight plan transition air,0
DD-32,uav taking state achieve target altitude transition fly state,0
DD-30,flight plan assign uav ground state transition await takeoff clearance state,0
DD-26,uav initially activate ground ground state,0
DD-24,altitude specify meter,0
DD-23,waypoint specify degree longitude latitude decimal degree format e g,0
DD-22,client register uimiddleware receive notification unexpected event occur,0
DD-21,client register uimiddleware receive notification uav instance activate deactivate,0
DD-20,client register uimiddleware receive notification new flight plan activate execute,0
DD-19,client register uimiddleware receive notification new uav type configuration create modify delete,0
DD-18,client register uimiddleware receive uav type specification event new uav type specification create modify delete,0
DD-11,client register uimiddleware receive flight route event notification flight route create modify delete,0
ST-347,implement edit delete function button route list attach behave popup window delete etc button route information bar,0
ST-403,click follow mode button screen zoom drone user able zoom choosing,0
ST-208,create emergency operation button specify mockup,0
ST-305,connect return home button uav dronology button click popup modal window saying sure send uav home button yes clicking yes send uav home click simply close window emergency operation uav select click uavs return home popup modal window saying sure send uavs home click yes send uavs home select uavs change text button select uavs return home click popup modal window saying sure send uav uav uav n home send select uavs home user click yes,0
ST-280,ui load automatically map register uavs plan route rectangle bound uavs plan route visible center map zoom map register uavs plan path constitute map,0
